Rank,Currency_Name,Price,Hour Change,Day Change,Week Change,Market_Capital,Volume,Circulating_Supply
62,"Stacks
STX
Buy",$0.8701,0.51%,2.34%,14.07%,"$1,328,098,828","$30,275,634
34.74M STX",1.52B STX
63,"Fartcoin
FARTCOIN
Buy",$1.28,0.01%,9.64%,3.33%,"$1,285,572,445","$124,206,327
96.68M FARTCOIN",999.99M FARTCOIN
64,"Flare
FLR
Buy",$0.01932,0.23%,0.78%,4.18%,"$1,262,938,311","$4,730,774
245.17M FLR",65.34B FLR
65,"EOS
EOS
Buy",$0.8063,0.10%,1.96%,11.35%,"$1,262,610,940","$103,733,553
128.82M EOS",1.56B EOS
66,"Sei
SEI
Buy",$0.2316,0.58%,3.28%,11.36%,"$1,235,273,134","$46,502,148
201.20M SEI",5.33B SEI
67,"Immutable
IMX
Buy",$0.6616,0.07%,4.69%,9.40%,"$1,218,682,845","$31,667,087
47.92M IMX",1.84B IMX
68,"Injective
INJ
Buy",$12.11,0.32%,4.79%,6.19%,"$1,210,898,182","$84,568,180
7.00M INJ",99.97M INJ
69,"Virtuals Protocol
VIRTUAL
Buy",$1.86,2.87%,9.96%,3.81%,"$1,214,629,600","$198,456,365
107.39M VIRTUAL",652.61M VIRTUAL
70,"Optimism
OP
Buy",$0.7169,0.01%,2.47%,17.90%,"$1,188,110,921","$129,599,505
181.17M OP",1.65B OP
71,"XDC Network
XDC
Buy",$0.07288,0.09%,3.14%,4.73%,"$1,144,887,250","$29,042,116
397.39M XDC",15.7B XDC
72,"Quant
QNT
Buy",$94.30,0.27%,2.60%,3.27%,"$1,138,567,555","$16,403,228
174.10K QNT",12.07M QNT
73,"Four
FORM
Buy",$2.87,0.07%,3.16%,17.48%,"$1,097,819,539","$14,471,560
5.04M FORM",381.86M FORM
74,"The Graph
GRT
Buy",$0.1109,0.11%,3.88%,7.68%,"$1,089,731,291","$35,544,282
320.83M GRT",9.82B GRT
75,"DeXe
DEXE
Buy",$12.86,0.05%,1.15%,8.38%,"$1,077,439,107","$9,968,139
775.18K DEXE",83.73M DEXE
76,"dogwifhat
WIF
Buy",$1.03,1.76%,7.78%,14.32%,"$1,034,755,596","$407,375,004
393.86M WIF",998.84M WIF
77,"FLOKI
FLOKI
Buy",$0.00009871,1.19%,8.07%,5.54%,"$950,082,057","$108,602,990
1.10T FLOKI",9.62T FLOKI
78,"Raydium
RAY
Buy",$3.23,0.18%,2.04%,1.49%,"$938,045,681","$41,230,787
12.80M RAY",289.78M RAY
79,"Curve DAO Token
CRV
Buy",$0.6893,0.15%,0.26%,11.43%,"$926,035,594","$88,365,890
128.28M CRV",1.34B CRV
80,"PayPal USD
PYUSD
Buy",$0.9995,0.00%,0.00%,0.01%,"$899,194,685","$8,406,932
8.41M PYUSD",899.56M PYUSD
81,"Theta Network
THETA
Buy",$0.9007,1.52%,6.01%,11.22%,"$900,707,647","$18,293,073
20.39M THETA",1B THETA
82,"JasmyCoin
JASMY
Buy",$0.01795,1.13%,5.11%,4.92%,"$887,707,037","$37,464,199
2.09B JASMY",49.44B JASMY
83,"Gala
GALA
Buy",$0.01952,0.36%,4.97%,12.83%,"$868,239,492","$89,090,382
4.57B GALA",44.46B GALA
84,"Walrus
WAL
Buy",$0.6544,0.62%,2.13%,4.34%,"$860,865,839","$33,459,560
51.29M WAL",1.31B WAL
85,"IOTA
IOTA
Buy",$0.2256,0.13%,4.86%,9.20%,"$852,091,547","$15,975,212
70.94M IOTA",3.77B IOTA
86,"Lido DAO
LDO
Buy",$0.9372,0.13%,0.13%,16.09%,"$841,544,124","$67,262,125
71.93M LDO",897.84M LDO
87,"Nexo
NEXO
Buy",$1.28,0.20%,1.71%,0.22%,"$827,892,390","$7,744,240
6.05M NEXO",646.14M NEXO
88,"Pudgy Penguins
PENGU
Buy",$0.01287,0.50%,5.40%,8.08%,"$809,225,426","$101,785,195
7.92B PENGU",62.86B PENGU
89,"Core
CORE
Buy",$0.8030,0.13%,1.63%,5.60%,"$804,293,158","$21,422,745
26.68M CORE",1B CORE
90,"Ethereum Name Service
ENS
Buy",$22.07,0.40%,2.50%,5.59%,"$801,850,362","$51,434,024
2.33M ENS",36.32M ENS
91,"Tether Gold
XAUt
Buy","$3,207.36",0.02%,0.02%,3.52%,"$790,692,694","$11,564,277
3.60K XAUt",246.52K XAUt
92,"The Sandbox
SAND
Buy",$0.3114,0.17%,2.28%,12.30%,"$790,533,901","$70,630,724
227.19M SAND",2.53B SAND
93,"PAX Gold
PAXG
Buy","$3,218.85",0.00%,0.07%,3.36%,"$766,386,000","$31,098,954
9.66K PAXG",238.09K PAXG
94,"Brett (Based)
BRETT
Buy",$0.07591,1.94%,15.29%,9.35%,"$752,369,553","$26,381,435
349.66M BRETT",9.91B BRETT
95,"PancakeSwap
CAKE
Buy",$2.24,0.49%,3.35%,8.18%,"$746,386,991","$45,547,054
20.30M CAKE",331.75M CAKE
96,"Helium
HNT
Buy",$4.06,0.37%,2.72%,0.29%,"$741,978,115","$3,869,569
951.70K HNT",182.68M HNT
97,"BitTorrent [New]
BTT
Buy",$0.067414,0.03%,2.18%,7.89%,"$731,145,560","$16,814,592
22.67T BTT",986.06T BTT
98,"Bitcoin SV
BSV
Buy",$36.11,0.36%,2.40%,13.85%,"$717,507,809","$51,141,913
1.41M BSV",19.86M BSV
99,"Kaia
KAIA
Buy",$0.1180,0.13%,2.30%,5.73%,"$710,528,495","$13,027,128
110.40M KAIA",6.02B KAIA
